Part #,SKU,Name,Category,Katana Type,Katana Subtype,Has BOM,Sellable,Notes,Is Subassembly
10116,SOL-LOV-NTK-SAH-ST2,"Solerno Loveseat, Sahara, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sahara fabric, pillow back",No
10117,SOL-LOV-NTK-GUL-ST1,"Solerno Loveseat, Seagull, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, foam back",No
10118,SOL-LOV-NTK-GUL-ST2,"Solerno Loveseat, Seagull, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, pillow back",No
10119,SOL-LOV-NTK-BSQ-ST1,"Solerno Loveseat, Bisque, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, foam back",No
10120,SOL-LOV-NTK-BSQ-ST2,"Solerno Loveseat, Bisque, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Bisque fabric, pillow back",No
10121,SOL-LOV-NTK-SEA-ST1,"Solerno Loveseat, Seaglass, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, foam back",No
10122,SOL-LOV-NTK-SEA-ST2,"Solerno Loveseat, Seaglass, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seaglass fabric, pillow back",No
10123,SOL-LOV-NTK-SND-ST1,"Solerno Loveseat, Sand, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, foam back",No
10124,SOL-LOV-NTK-SND-ST2,"Solerno Loveseat, Sand, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sand fabric, pillow back",No
10125,SOL-LOV-NTK-ALO-ST1,"Solerno Loveseat, Aloe, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, foam back",No
10126,SOL-LOV-NTK-ALO-ST2,"Solerno Loveseat, Aloe, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Aloe fabric, pillow back",No
10127,SOL-LOV-NTK-JAV-ST1,"Solerno Loveseat, Java, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, foam back",No
10128,SOL-LOV-NTK-JAV-ST2,"Solerno Loveseat, Java, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Java fabric, pillow back",No
10129,SOL-LOV-NTK-DEW-ST1,"Solerno Loveseat, Dewdrop, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dewdrop fabric, foam back",No
10130,SOL-LOV-NTK-DEW-ST2,"Solerno Loveseat, Dewdrop, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dewdrop fabric, pillow back",No
10131,SOL-LOV-NTK-EMB-ST1,"Solerno Loveseat, Ember, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Ember fabric, foam back",No
10132,SOL-LOV-NTK-EMB-ST2,"Solerno Loveseat, Ember, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Ember fabric, pillow back",No
10201,SOL-SOF-NTK-CBN-ST1,"Solerno Sofa, Carbon, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Carbon fabric, foam back",No
10202,SOL-SOF-NTK-CBN-ST2,"Solerno Sofa, Carbon, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Carbon fabric, pillow back",No
10203,SOL-SOF-NTK-IND-ST1,"Solerno Sofa, Indigo, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Indigo fabric, foam back",No
10204,SOL-SOF-NTK-IND-ST2,"Solerno Sofa, Indigo, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Indigo fabric, pillow back",No
10205,SOL-SOF-NTK-DOV-ST1,"Solerno Sofa, Dove, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dove fabric, foam back",No
10206,SOL-SOF-NTK-DOV-ST2,"Solerno Sofa, Dove, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Dove fabric, pillow back",No
10207,SOL-SOF-NTK-CHR-ST1,"Solerno Sofa, Charcoal, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Charcoal fabric, foam back",No
10208,SOL-SOF-NTK-CHR-ST2,"Solerno Sofa, Charcoal, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Charcoal fabric, pillow back",No
10209,SOL-SOF-NTK-LEF-ST1,"Solerno Sofa, Leaf, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Leaf fabric, foam back",No
10210,SOL-SOF-NTK-LEF-ST2,"Solerno Sofa, Leaf, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Leaf fabric, pillow back",No
10211,SOL-SOF-NTK-SBL-ST1,"Solerno Sofa, Sable, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sable fabric, foam back",No
10212,SOL-SOF-NTK-SBL-ST2,"Solerno Sofa, Sable, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sable fabric, pillow back",No
10213,SOL-SOF-NTK-SLT-ST1,"Solerno Sofa, Salt, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Salt fabric, foam back",No
10214,SOL-SOF-NTK-SLT-ST2,"Solerno Sofa, Salt, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Salt fabric, pillow back",No
10215,SOL-SOF-NTK-SAH-ST1,"Solerno Sofa, Sahara, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sahara fabric, foam back",No
10216,SOL-SOF-NTK-SAH-ST2,"Solerno Sofa, Sahara, Pillow Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Sahara fabric, pillow back",No
10217,SOL-SOF-NTK-GUL-ST1,"Solerno Sofa, Seagull, Standard Back",Finished Good,Product,Make-to-Order,Yes,Yes,"Seagull fabric, foam back",No
